entity_id,entity_type,name,path,description,url,created_at,updated_at,metadata_json
"project_67882565","project","fgdrt","atlas-datascience/lion/predecessor/core/catalog/db-schemas/fgdrt","","https://gitlab.com/atlas-datascience/lion/predecessor/core/catalog/db-schemas/fgdrt","2025-03-10T19:30:52.592Z","2025-03-10T19:30:52.592Z","{""id"":67882565,""name"":""fgdrt"",""path"":""atlas-datascience/lion/predecessor/core/catalog/db-schemas/fgdrt"",""namespace"":""atlas-datascience/lion/predecessor/core/catalog/db-schemas"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}"
"project_67882555","project","c3po","atlas-datascience/lion/predecessor/core/catalog/db-schemas/c3po","","https://gitlab.com/atlas-datascience/lion/predecessor/core/catalog/db-schemas/c3po","2025-03-10T19:30:37.290Z","2025-03-10T19:30:37.290Z","{""id"":67882555,""name"":""c3po"",""path"":""atlas-datascience/lion/predecessor/core/catalog/db-schemas/c3po"",""namespace"":""atlas-datascience/lion/predecessor/core/catalog/db-schemas"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}"
"project_67573033","project","lion","atlas-datascience/lion/predecessor/core/catalog/apis/lion","","https://gitlab.com/atlas-datascience/lion/predecessor/core/catalog/apis/lion","2025-02-28T17:26:53.198Z","2025-02-28T17:26:53.198Z","{""id"":67573033,""name"":""lion"",""path"":""atlas-datascience/lion/predecessor/core/catalog/apis/lion"",""namespace"":""atlas-datascience/lion/predecessor/core/catalog/apis"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}"
"project_67572896","project","auth-cache","atlas-datascience/lion/predecessor/core/infrastructure/idam/auth-cache","","https://gitlab.com/atlas-datascience/lion/predecessor/core/infrastructure/idam/auth-cache","2025-02-28T17:20:14.521Z","2025-02-28T17:20:14.521Z","{""id"":67572896,""name"":""auth-cache"",""path"":""atlas-datascience/lion/predecessor/core/infrastructure/idam/auth-cache"",""namespace"":""atlas-datascience/lion/predecessor/core/infrastructure/idam"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}"
"project_67572888","project","auth-proxy","atlas-datascience/lion/predecessor/core/infrastructure/idam/auth-proxy","","https://gitlab.com/atlas-datascience/lion/predecessor/core/infrastructure/idam/auth-proxy","2025-02-28T17:19:59.095Z","2025-02-28T17:19:59.095Z","{""id"":67572888,""name"":""auth-proxy"",""path"":""atlas-datascience/lion/predecessor/core/infrastructure/idam/auth-proxy"",""namespace"":""atlas-datascience/lion/predecessor/core/infrastructure/idam"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}"
"project_67572875","project","dirty-bucket-ingest-listener","atlas-datascience/lion/predecessor/core/data-in/dirty-bucket/dirty-bucket-ingest-listener","","https://gitlab.com/atlas-datascience/lion/predecessor/core/data-in/dirty-bucket/dirty-bucket-ingest-listener","2025-02-28T17:19:17.059Z","2025-02-28T17:19:17.059Z","{""id"":67572875,""name"":""dirty-bucket-ingest-listener"",""path"":""atlas-datascience/lion/predecessor/core/data-in/dirty-bucket/dirty-bucket-ingest-listener"",""namespace"":""atlas-datascience/lion/predecessor/core/data-in/dirty-bucket"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}"
"project_67572866","project","virus-definition-updater","atlas-datascience/lion/predecessor/core/data-in/dirty-bucket/virus-definition-updater","","https://gitlab.com/atlas-datascience/lion/predecessor/core/data-in/dirty-bucket/virus-definition-updater","2025-02-28T17:18:55.262Z","2025-02-28T17:18:55.262Z","{""id"":67572866,""name"":""virus-definition-updater"",""path"":""atlas-datascience/lion/predecessor/core/data-in/dirty-bucket/virus-definition-updater"",""namespace"":""atlas-datascience/lion/predecessor/core/data-in/dirty-bucket"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}"
"project_67572860","project","dirty-bucket-redis-config-change-listener","atlas-datascience/lion/predecessor/core/data-in/dirty-bucket/dirty-bucket-redis-config-change-listener","","https://gitlab.com/atlas-datascience/lion/predecessor/core/data-in/dirty-bucket/dirty-bucket-redis-config-change-listener","2025-02-28T17:18:32.500Z","2025-02-28T17:18:32.500Z","{""id"":67572860,""name"":""dirty-bucket-redis-config-change-listener"",""path"":""atlas-datascience/lion/predecessor/core/data-in/dirty-bucket/dirty-bucket-redis-config-change-listener"",""namespace"":""atlas-datascience/lion/predecessor/core/data-in/dirty-bucket"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}"
"project_67572849","project","enterprise-secure-ingest-distributor","atlas-datascience/lion/predecessor/core/data-in/dirty-bucket/enterprise-secure-ingest-distributor","","https://gitlab.com/atlas-datascience/lion/predecessor/core/data-in/dirty-bucket/enterprise-secure-ingest-distributor","2025-02-28T17:18:01.061Z","2025-02-28T17:18:01.061Z","{""id"":67572849,""name"":""enterprise-secure-ingest-distributor"",""path"":""atlas-datascience/lion/predecessor/core/data-in/dirty-bucket/enterprise-secure-ingest-distributor"",""namespace"":""atlas-datascience/lion/predecessor/core/data-in/dirty-bucket"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}"
"project_67572838","project","enterprise-secure-ingest-distributor-instructions","atlas-datascience/lion/predecessor/core/data-in/dirty-bucket/enterprise-secure-ingest-distributor-instructions","","https://gitlab.com/atlas-datascience/lion/predecessor/core/data-in/dirty-bucket/enterprise-secure-ingest-distributor-instructions","2025-02-28T17:17:35.069Z","2025-02-28T17:17:35.069Z","{""id"":67572838,""name"":""enterprise-secure-ingest-distributor-instructions"",""path"":""atlas-datascience/lion/predecessor/core/data-in/dirty-bucket/enterprise-secure-ingest-distributor-instructions"",""namespace"":""atlas-datascience/lion/predecessor/core/data-in/dirty-bucket"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}"
"project_67572826","project","enterprise-secure-ingest-processor","atlas-datascience/lion/predecessor/core/data-in/dirty-bucket/enterprise-secure-ingest-processor","","https://gitlab.com/atlas-datascience/lion/predecessor/core/data-in/dirty-bucket/enterprise-secure-ingest-processor","2025-02-28T17:17:08.317Z","2025-02-28T17:17:08.317Z","{""id"":67572826,""name"":""enterprise-secure-ingest-processor"",""path"":""atlas-datascience/lion/predecessor/core/data-in/dirty-bucket/enterprise-secure-ingest-processor"",""namespace"":""atlas-datascience/lion/predecessor/core/data-in/dirty-bucket"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}"
"project_67572814","project","data-sync","atlas-datascience/lion/predecessor/core/data-in/automated-data-retrieval/data-sync","","https://gitlab.com/atlas-datascience/lion/predecessor/core/data-in/automated-data-retrieval/data-sync","2025-02-28T17:16:37.003Z","2025-02-28T17:16:37.003Z","{""id"":67572814,""name"":""data-sync"",""path"":""atlas-datascience/lion/predecessor/core/data-in/automated-data-retrieval/data-sync"",""namespace"":""atlas-datascience/lion/predecessor/core/data-in/automated-data-retrieval"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}"
"project_67572805","project","data-retriever","atlas-datascience/lion/predecessor/core/data-in/automated-data-retrieval/data-retriever","","https://gitlab.com/atlas-datascience/lion/predecessor/core/data-in/automated-data-retrieval/data-retriever","2025-02-28T17:16:22.321Z","2025-02-28T17:16:22.321Z","{""id"":67572805,""name"":""data-retriever"",""path"":""atlas-datascience/lion/predecessor/core/data-in/automated-data-retrieval/data-retriever"",""namespace"":""atlas-datascience/lion/predecessor/core/data-in/automated-data-retrieval"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}"
