entity_type,entity_id,entity_name,entity_path,content,full_text,metadata_json,source_url,created_at,updated_at,author,tags,relationships
"project","project_71561062","geo-coordinate-normalization","atlas-datascience/lion/project-lion/data-ingestion-enrichment/enrichment-functions/coordinate-conditioning","Transformation of geometric coordinates to a known global standard coordinate system and datum (WGS84/EGM96).  Coordinates captured through the extraction process for geometric shapes may be tied to any coordinate reference system (CRS).  This function transforms the shape to a common standard prior to record creation.  Doing this on ingestion mitigates the need to transform every geometry on the fly in support of geospatial operations performed during filtering.","Project: geo-coordinate-normalization\nPath: atlas-datascience/lion/project-lion/data-ingestion-enrichment/enrichment-functions/coordinate-conditioning\nDescription: Transformation of geometric coordinates to a known global standard coordinate system and datum (WGS84/EGM96).  Coordinates captured through the extraction process for geometric shapes may be tied to any coordinate reference system (CRS).  This function transforms the shape to a common standard prior to record creation.  Doing this on ingestion mitigates the need to transform every geometry on the fly in support of geospatial operations performed during filtering.\nURL: https://gitlab.com/atlas-datascience/lion/project-lion/data-ingestion-enrichment/enrichment-functions/coordinate-conditioning","{""id"":71561062,""name"":""geo-coordinate-normalization"",""path"":""atlas-datascience/lion/project-lion/data-ingestion-enrichment/enrichment-functions/coordinate-conditioning"",""namespace"":""atlas-datascience/lion/project-lion/data-ingestion-enrichment/enrichment-functions"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}","https://gitlab.com/atlas-datascience/lion/project-lion/data-ingestion-enrichment/enrichment-functions/coordinate-conditioning","2025-07-11T17:22:26.046Z","2025-07-11T17:22:26.046Z","","project,gitlab,project-lion/data-ingestion-enrichment/enrichment-functions/coordinate-conditioning",""
"project","project_71561032","labeling","atlas-datascience/lion/project-lion/data-ingestion-enrichment/enrichment-functions/labeling","This function applies labels to the entity record as applicable to Open Policy Agent (OPA) rules defined for the entity within Open Meta Data.","Project: labeling\nPath: atlas-datascience/lion/project-lion/data-ingestion-enrichment/enrichment-functions/labeling\nDescription: This function applies labels to the entity record as applicable to Open Policy Agent (OPA) rules defined for the entity within Open Meta Data.\nURL: https://gitlab.com/atlas-datascience/lion/project-lion/data-ingestion-enrichment/enrichment-functions/labeling","{""id"":71561032,""name"":""labeling"",""path"":""atlas-datascience/lion/project-lion/data-ingestion-enrichment/enrichment-functions/labeling"",""namespace"":""atlas-datascience/lion/project-lion/data-ingestion-enrichment/enrichment-functions"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}","https://gitlab.com/atlas-datascience/lion/project-lion/data-ingestion-enrichment/enrichment-functions/labeling","2025-07-11T17:21:16.304Z","2025-07-11T17:21:16.304Z","","project,gitlab,project-lion/data-ingestion-enrichment/enrichment-functions/labeling",""
"project","project_71561026","infrastructure","atlas-datascience/lion/project-lion/data-ingestion-enrichment/infrastructure","This project contains the Infrastructure As Code (IaC) required to deliver the data ingestion and enrichment capabilities.","Project: infrastructure\nPath: atlas-datascience/lion/project-lion/data-ingestion-enrichment/infrastructure\nDescription: This project contains the Infrastructure As Code (IaC) required to deliver the data ingestion and enrichment capabilities.\nURL: https://gitlab.com/atlas-datascience/lion/project-lion/data-ingestion-enrichment/infrastructure","{""id"":71561026,""name"":""infrastructure"",""path"":""atlas-datascience/lion/project-lion/data-ingestion-enrichment/infrastructure"",""namespace"":""atlas-datascience/lion/project-lion/data-ingestion-enrichment"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}","https://gitlab.com/atlas-datascience/lion/project-lion/data-ingestion-enrichment/infrastructure","2025-07-11T17:20:50.185Z","2025-07-11T17:20:50.185Z","","project,gitlab,project-lion/data-ingestion-enrichment/infrastructure",""
"project","project_71561008","kinesis-receiver","atlas-datascience/lion/project-lion/data-ingestion-enrichment/kinesis-receiver","This function takes kinesis events and feeds them into a workflow engine so as to be processed by the enrichment functions.","Project: kinesis-receiver\nPath: atlas-datascience/lion/project-lion/data-ingestion-enrichment/kinesis-receiver\nDescription: This function takes kinesis events and feeds them into a workflow engine so as to be processed by the enrichment functions.\nURL: https://gitlab.com/atlas-datascience/lion/project-lion/data-ingestion-enrichment/kinesis-receiver","{""id"":71561008,""name"":""kinesis-receiver"",""path"":""atlas-datascience/lion/project-lion/data-ingestion-enrichment/kinesis-receiver"",""namespace"":""atlas-datascience/lion/project-lion/data-ingestion-enrichment"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}","https://gitlab.com/atlas-datascience/lion/project-lion/data-ingestion-enrichment/kinesis-receiver","2025-07-11T17:19:54.425Z","2025-07-11T17:19:54.425Z","","project,gitlab,project-lion/data-ingestion-enrichment/kinesis-receiver",""
"project","project_71529570","environment networks","atlas-datascience/lion/infrastructure/aws/environment-networks","","Project: environment networks\nPath: atlas-datascience/lion/infrastructure/aws/environment-networks\nDescription: \nURL: https://gitlab.com/atlas-datascience/lion/infrastructure/aws/environment-networks","{""id"":71529570,""name"":""environment networks"",""path"":""atlas-datascience/lion/infrastructure/aws/environment-networks"",""namespace"":""atlas-datascience/lion/infrastructure/aws"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}","https://gitlab.com/atlas-datascience/lion/infrastructure/aws/environment-networks","2025-07-10T15:15:01.827Z","2025-07-10T15:15:01.827Z","","project,gitlab,infrastructure/aws/environment-networks",""
"project","project_71529533","master network","atlas-datascience/lion/infrastructure/aws/master-network","","Project: master network\nPath: atlas-datascience/lion/infrastructure/aws/master-network\nDescription: \nURL: https://gitlab.com/atlas-datascience/lion/infrastructure/aws/master-network","{""id"":71529533,""name"":""master network"",""path"":""atlas-datascience/lion/infrastructure/aws/master-network"",""namespace"":""atlas-datascience/lion/infrastructure/aws"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}","https://gitlab.com/atlas-datascience/lion/infrastructure/aws/master-network","2025-07-10T15:14:00.940Z","2025-07-10T15:14:00.940Z","","project,gitlab,infrastructure/aws/master-network",""
"project","project_71509248","product-backlog","atlas-datascience/lion/devops","","Project: product-backlog\nPath: atlas-datascience/lion/devops\nDescription: \nURL: https://gitlab.com/atlas-datascience/lion/devops","{""id"":71509248,""name"":""product-backlog"",""path"":""atlas-datascience/lion/devops"",""namespace"":""atlas-datascience/lion"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}","https://gitlab.com/atlas-datascience/lion/devops","2025-07-10T01:07:13.439Z","2025-07-10T01:07:13.439Z","","project,gitlab,devops",""
"wiki_page","wiki_71509248_Lion-Software-Development","Lion Software Development","atlas-datascience/lion/devops/wiki/Lion-Software-Development","--- title: Lion Software Development Resources --- # Introduction  # Quicklinks  # Agile Development Guide  # Shared Resources ","Wiki Page: Lion Software Development\nProject: product-backlog (atlas-datascience/lion/devops)\nContent:\n--- title: Lion Software Development Resources --- # Introduction  # Quicklinks  # Agile Development Guide  # Shared Resources ","{
  ""project_id"": ""71509248"",
  ""project_path"": ""atlas-datascience/lion/devops"",
  ""slug"": ""Lion-Software-Development"",
  ""format"": ""markdown""
}","https://gitlab.com/atlas-datascience/lion/devops/-/wikis/Lion-Software-Development","2025-07-10T01:07:13.439Z","2025-07-10T01:07:13.439Z","","wiki,documentation,markdown,devops","project_71509248"
"project","project_71311398","renovate-runner","atlas-datascience/lion/renovate-runner","","Project: renovate-runner\nPath: atlas-datascience/lion/renovate-runner\nDescription: \nURL: https://gitlab.com/atlas-datascience/lion/renovate-runner","{""id"":71311398,""name"":""renovate-runner"",""path"":""atlas-datascience/lion/renovate-runner"",""namespace"":""atlas-datascience/lion"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}","https://gitlab.com/atlas-datascience/lion/renovate-runner","2025-07-02T14:43:42.135Z","2025-07-02T14:43:42.135Z","","project,gitlab,renovate-runner",""
"project","project_71249866","lion - Security policy project","atlas-datascience/lion/lion-security-policy-project","This project is automatically generated to manage security policies for the project.","Project: lion - Security policy project\nPath: atlas-datascience/lion/lion-security-policy-project\nDescription: This project is automatically generated to manage security policies for the project.\nURL: https://gitlab.com/atlas-datascience/lion/lion-security-policy-project","{""id"":71249866,""name"":""lion - Security policy project"",""path"":""atlas-datascience/lion/lion-security-policy-project"",""namespace"":""atlas-datascience/lion"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}","https://gitlab.com/atlas-datascience/lion/lion-security-policy-project","2025-06-30T16:58:40.397Z","2025-06-30T16:58:40.397Z","","project,gitlab,lion-security-policy-project",""
"project","project_71164198","schemas","atlas-datascience/lion/project-lion/schemas","","Project: schemas\nPath: atlas-datascience/lion/project-lion/schemas\nDescription: \nURL: https://gitlab.com/atlas-datascience/lion/project-lion/schemas","{""id"":71164198,""name"":""schemas"",""path"":""atlas-datascience/lion/project-lion/schemas"",""namespace"":""atlas-datascience/lion/project-lion"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}","https://gitlab.com/atlas-datascience/lion/project-lion/schemas","2025-06-26T19:29:28.185Z","2025-06-26T19:29:28.185Z","","project,gitlab,project-lion/schemas",""
"project","project_71131328","security","atlas-datascience/lion/cicd/catalog/security","","Project: security\nPath: atlas-datascience/lion/cicd/catalog/security\nDescription: \nURL: https://gitlab.com/atlas-datascience/lion/cicd/catalog/security","{""id"":71131328,""name"":""security"",""path"":""atlas-datascience/lion/cicd/catalog/security"",""namespace"":""atlas-datascience/lion/cicd/catalog"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}","https://gitlab.com/atlas-datascience/lion/cicd/catalog/security","2025-06-25T17:55:44.286Z","2025-06-25T17:55:44.286Z","","project,gitlab,cicd/catalog/security",""
"project","project_71129638","pipelines","atlas-datascience/lion/cicd/catalog/pipelines","","Project: pipelines\nPath: atlas-datascience/lion/cicd/catalog/pipelines\nDescription: \nURL: https://gitlab.com/atlas-datascience/lion/cicd/catalog/pipelines","{""id"":71129638,""name"":""pipelines"",""path"":""atlas-datascience/lion/cicd/catalog/pipelines"",""namespace"":""atlas-datascience/lion/cicd/catalog"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}","https://gitlab.com/atlas-datascience/lion/cicd/catalog/pipelines","2025-06-25T17:00:47.105Z","2025-06-25T17:00:47.105Z","","project,gitlab,cicd/catalog/pipelines",""
"project","project_71125468","aws account creation","atlas-datascience/lion/infrastructure/aws/aws-account-creation","","Project: aws account creation\nPath: atlas-datascience/lion/infrastructure/aws/aws-account-creation\nDescription: \nURL: https://gitlab.com/atlas-datascience/lion/infrastructure/aws/aws-account-creation","{""id"":71125468,""name"":""aws account creation"",""path"":""atlas-datascience/lion/infrastructure/aws/aws-account-creation"",""namespace"":""atlas-datascience/lion/infrastructure/aws"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}","https://gitlab.com/atlas-datascience/lion/infrastructure/aws/aws-account-creation","2025-06-25T14:39:44.589Z","2025-06-25T14:39:44.589Z","","project,gitlab,infrastructure/aws/aws-account-creation",""
"project","project_70969426","pipeline templates-deletion_scheduled-70969426","atlas-datascience/lion/infrastructure/pipeline-templates-deletion_scheduled-70969426","","Project: pipeline templates-deletion_scheduled-70969426\nPath: atlas-datascience/lion/infrastructure/pipeline-templates-deletion_scheduled-70969426\nDescription: \nURL: https://gitlab.com/atlas-datascience/lion/infrastructure/pipeline-templates-deletion_scheduled-70969426","{""id"":70969426,""name"":""pipeline templates-deletion_scheduled-70969426"",""path"":""atlas-datascience/lion/infrastructure/pipeline-templates-deletion_scheduled-70969426"",""namespace"":""atlas-datascience/lion/infrastructure"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}","https://gitlab.com/atlas-datascience/lion/infrastructure/pipeline-templates-deletion_scheduled-70969426","2025-06-19T13:49:36.121Z","2025-06-19T13:49:36.121Z","","project,gitlab,infrastructure/pipeline-templates-deletion_scheduled-70969426",""
"project","project_70868426","test project","atlas-datascience/lion/test-project","","Project: test project\nPath: atlas-datascience/lion/test-project\nDescription: \nURL: https://gitlab.com/atlas-datascience/lion/test-project","{""id"":70868426,""name"":""test project"",""path"":""atlas-datascience/lion/test-project"",""namespace"":""atlas-datascience/lion"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}","https://gitlab.com/atlas-datascience/lion/test-project","2025-06-16T13:11:00.901Z","2025-06-16T13:11:00.901Z","","project,gitlab,test-project",""
"project","project_70663322","ingestion‑gateway","atlas-datascience/lion/project-lion/data-ingestion-enrichment/ingestion-gateway","This function is intended to take events posted from the Edge Connector, validate them and push them into a Kinesis data steam.","Project: ingestion‑gateway\nPath: atlas-datascience/lion/project-lion/data-ingestion-enrichment/ingestion-gateway\nDescription: This function is intended to take events posted from the Edge Connector, validate them and push them into a Kinesis data steam.\nURL: https://gitlab.com/atlas-datascience/lion/project-lion/data-ingestion-enrichment/ingestion-gateway","{""id"":70663322,""name"":""ingestion‑gateway"",""path"":""atlas-datascience/lion/project-lion/data-ingestion-enrichment/ingestion-gateway"",""namespace"":""atlas-datascience/lion/project-lion/data-ingestion-enrichment"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}","https://gitlab.com/atlas-datascience/lion/project-lion/data-ingestion-enrichment/ingestion-gateway","2025-06-09T15:32:23.909Z","2025-06-09T15:32:23.909Z","","project,gitlab,project-lion/data-ingestion-enrichment/ingestion-gateway",""
"project","project_70663067","edge‑connector","atlas-datascience/lion/project-lion/edge-connectors/edge-connector","","Project: edge‑connector\nPath: atlas-datascience/lion/project-lion/edge-connectors/edge-connector\nDescription: \nURL: https://gitlab.com/atlas-datascience/lion/project-lion/edge-connectors/edge-connector","{""id"":70663067,""name"":""edge‑connector"",""path"":""atlas-datascience/lion/project-lion/edge-connectors/edge-connector"",""namespace"":""atlas-datascience/lion/project-lion/edge-connectors"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}","https://gitlab.com/atlas-datascience/lion/project-lion/edge-connectors/edge-connector","2025-06-09T15:30:50.401Z","2025-06-09T15:30:50.401Z","","project,gitlab,project-lion/edge-connectors/edge-connector",""
"project","project_70655583","gitlab runner manager","atlas-datascience/lion/infrastructure/gitlab-runner-manager-templates","","Project: gitlab runner manager\nPath: atlas-datascience/lion/infrastructure/gitlab-runner-manager-templates\nDescription: \nURL: https://gitlab.com/atlas-datascience/lion/infrastructure/gitlab-runner-manager-templates","{""id"":70655583,""name"":""gitlab runner manager"",""path"":""atlas-datascience/lion/infrastructure/gitlab-runner-manager-templates"",""namespace"":""atlas-datascience/lion/infrastructure"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}","https://gitlab.com/atlas-datascience/lion/infrastructure/gitlab-runner-manager-templates","2025-06-09T11:42:54.547Z","2025-06-09T11:42:54.547Z","","project,gitlab,infrastructure/gitlab-runner-manager-templates",""
"project","project_70542589","Example Datasets","atlas-datascience/lion/example-datasets","","Project: Example Datasets\nPath: atlas-datascience/lion/example-datasets\nDescription: \nURL: https://gitlab.com/atlas-datascience/lion/example-datasets","{""id"":70542589,""name"":""Example Datasets"",""path"":""atlas-datascience/lion/example-datasets"",""namespace"":""atlas-datascience/lion"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}","https://gitlab.com/atlas-datascience/lion/example-datasets","2025-06-05T18:48:16.488Z","2025-06-05T18:48:16.488Z","","project,gitlab,example-datasets",""
"wiki_page","wiki_70542589_Child-entry","Child entry","atlas-datascience/lion/example-datasets/wiki/Child-entry","Child entry ","Wiki Page: Child entry\nProject: Example Datasets (atlas-datascience/lion/example-datasets)\nContent:\nChild entry ","{
  ""project_id"": ""70542589"",
  ""project_path"": ""atlas-datascience/lion/example-datasets"",
  ""slug"": ""Child-entry"",
  ""format"": ""markdown""
}","https://gitlab.com/atlas-datascience/lion/example-datasets/-/wikis/Child-entry","2025-06-05T18:48:16.488Z","2025-06-05T18:48:16.488Z","","wiki,documentation,markdown,example-datasets","project_70542589"
"wiki_page","wiki_70542589_Datasets-Wiki","Datasets Wiki","atlas-datascience/lion/example-datasets/wiki/Datasets-Wiki","General discussion ","Wiki Page: Datasets Wiki\nProject: Example Datasets (atlas-datascience/lion/example-datasets)\nContent:\nGeneral discussion ","{
  ""project_id"": ""70542589"",
  ""project_path"": ""atlas-datascience/lion/example-datasets"",
  ""slug"": ""Datasets-Wiki"",
  ""format"": ""markdown""
}","https://gitlab.com/atlas-datascience/lion/example-datasets/-/wikis/Datasets-Wiki","2025-06-05T18:48:16.488Z","2025-06-05T18:48:16.488Z","","wiki,documentation,markdown,example-datasets","project_70542589"
"wiki_page","wiki_70542589_home","home","atlas-datascience/lion/example-datasets/wiki/home","Home ","Wiki Page: home\nProject: Example Datasets (atlas-datascience/lion/example-datasets)\nContent:\nHome ","{
  ""project_id"": ""70542589"",
  ""project_path"": ""atlas-datascience/lion/example-datasets"",
  ""slug"": ""home"",
  ""format"": ""markdown""
}","https://gitlab.com/atlas-datascience/lion/example-datasets/-/wikis/home","2025-06-05T18:48:16.488Z","2025-06-05T18:48:16.488Z","","wiki,documentation,markdown,example-datasets","project_70542589"
"project","project_70509031","Local Environment","atlas-datascience/lion/local-environment","","Project: Local Environment\nPath: atlas-datascience/lion/local-environment\nDescription: \nURL: https://gitlab.com/atlas-datascience/lion/local-environment","{""id"":70509031,""name"":""Local Environment"",""path"":""atlas-datascience/lion/local-environment"",""namespace"":""atlas-datascience/lion"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}","https://gitlab.com/atlas-datascience/lion/local-environment","2025-06-05T01:41:18.125Z","2025-06-05T01:41:18.125Z","","project,gitlab,local-environment",""
"project","project_70491520","dvlp resources","atlas-datascience/lion/infrastructure/aws/dvlp-resources","","Project: dvlp resources\nPath: atlas-datascience/lion/infrastructure/aws/dvlp-resources\nDescription: \nURL: https://gitlab.com/atlas-datascience/lion/infrastructure/aws/dvlp-resources","{""id"":70491520,""name"":""dvlp resources"",""path"":""atlas-datascience/lion/infrastructure/aws/dvlp-resources"",""namespace"":""atlas-datascience/lion/infrastructure/aws"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}","https://gitlab.com/atlas-datascience/lion/infrastructure/aws/dvlp-resources","2025-06-04T14:41:06.922Z","2025-06-04T14:41:06.922Z","","project,gitlab,infrastructure/aws/dvlp-resources",""
"project","project_70447540","access manager","atlas-datascience/lion/infrastructure/aws/access-manager","","Project: access manager\nPath: atlas-datascience/lion/infrastructure/aws/access-manager\nDescription: \nURL: https://gitlab.com/atlas-datascience/lion/infrastructure/aws/access-manager","{""id"":70447540,""name"":""access manager"",""path"":""atlas-datascience/lion/infrastructure/aws/access-manager"",""namespace"":""atlas-datascience/lion/infrastructure/aws"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}","https://gitlab.com/atlas-datascience/lion/infrastructure/aws/access-manager","2025-06-03T11:16:12.969Z","2025-06-03T11:16:12.969Z","","project,gitlab,infrastructure/aws/access-manager",""
"project","project_70327606","datasets","atlas-datascience/lion/predecessor/core/catalog/datasets","","Project: datasets\nPath: atlas-datascience/lion/predecessor/core/catalog/datasets\nDescription: \nURL: https://gitlab.com/atlas-datascience/lion/predecessor/core/catalog/datasets","{""id"":70327606,""name"":""datasets"",""path"":""atlas-datascience/lion/predecessor/core/catalog/datasets"",""namespace"":""atlas-datascience/lion/predecessor/core/catalog"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}","https://gitlab.com/atlas-datascience/lion/predecessor/core/catalog/datasets","2025-05-29T17:07:44.713Z","2025-05-29T17:07:44.713Z","","project,gitlab,predecessor/core/catalog/datasets",""
